ID,WBS,Task Name,Duration (days),Start,Finish,Predecessors,Resource Names,Lump-Sum Cost (USD),Resource-Based Cost (USD),Cost1 (Resource-Based),Cost2 (Resource-Based)
406,3.1.8,Zone 1 - install tube supports & saddles,14,2030-10-04,2030-10-17,,Assembly Crew,90000,81000,81000,81000
407,3.1.9,Zone 1 - tube section lift & place (10 sections),30,2030-10-19,2030-11-17,,Heavy Lift,250000,225000,225000,225000
408,3.1.10,Zone 1 - tube welding & seal welding,14,2030-11-18,2030-12-01,,Welding Team,80000,72000,72000,72000
409,3.1.11,Zone 1 - NDT & pressure testing,10,2030-12-03,2030-12-12,,QA Team,40000,36000,36000,36000
410,3.1.12,Zone 1 - pipework & HVAC for tube segment,21,2030-12-18,2031-01-07,,MEP Contractor,90000,81000,81000,81000
411,3.1.13,Zone 1 - install access hatches & maintenance walkways,10,2031-01-12,2031-01-21,,Steel Erector,30000,27000,27000,27000
412,3.1.14,Zone 1 - local controller & sensors install,14,2031-01-22,2031-02-04,,Control Systems,50000,45000,45000,45000
413,3.1.15,Zone 1 - cable tray & fiber install,10,2031-02-06,2031-02-15,,Telco Contractor,30000,27000,27000,27000
414,3.1.16,Zone 1 - access road rehabilitation,7,2031-02-21,2031-02-27,,Civil Contractor,15000,13500,13500,13500
415,3.2.1,Zone 2 - mobilize site compound,14,2030-07-08,2030-07-21,,Construction Contractor,50000,45000,45000,45000
416,3.2.2,Zone 2 - establish access roads,21,2030-07-13,2030-08-02,,Civil Contractor,80000,72000,72000,72000
417,3.2.3,Zone 2 - utility diversions & protections,28,2030-07-18,2030-08-14,,Utilities Contractor,100000,90000,90000,90000
418,3.2.4,Zone 2 - pile layout & markout,7,2030-07-20,2030-07-26,,Survey Team,15000,13500,13500,13500
419,3.2.5,Zone 2 - bore piles / drilled shafts (batch),30,2030-07-28,2030-08-26,,Pile Contractor,300000,270000,270000,270000
420,3.2.6,Zone 2 - cap beams & pile caps,14,2030-08-27,2030-09-09,,Concrete Contractor,120000,108000,108000,108000
421,3.2.7,Zone 2 - erect pylon segments 1-5,21,2030-09-16,2030-10-06,,Steel Erector,180000,162000,162000,162000
422,3.2.8,Zone 2 - install tube supports & saddles,14,2030-10-11,2030-10-24,,Assembly Crew,90000,81000,81000,81000
423,3.2.9,Zone 2 - tube section lift & place (10 sections),30,2030-10-26,2030-11-24,,Heavy Lift,250000,225000,225000,225000
424,3.2.10,Zone 2 - tube welding & seal welding,14,2030-11-25,2030-12-08,,Welding Team,80000,72000,72000,72000
425,3.2.11,Zone 2 - NDT & pressure testing,10,2030-12-10,2030-12-19,,QA Team,40000,36000,36000,36000
426,3.2.12,Zone 2 - pipework & HVAC for tube segment,21,2030-12-25,2031-01-14,,MEP Contractor,90000,81000,81000,81000
427,3.2.13,Zone 2 - install access hatches & maintenance walkways,10,2031-01-19,2031-01-28,,Steel Erector,30000,27000,27000,27000
428,3.2.14,Zone 2 - local controller & sensors install,14,2031-01-29,2031-02-11,,Control Systems,50000,45000,45000,45000
429,3.2.15,Zone 2 - cable tray & fiber install,10,2031-02-13,2031-02-22,,Telco Contractor,30000,27000,27000,27000
430,3.2.16,Zone 2 - access road rehabilitation,7,2031-02-28,2031-03-06,,Civil Contractor,15000,13500,13500,13500
431,3.3.1,Zone 3 - mobilize site compound,14,2030-07-15,2030-07-28,,Construction Contractor,50000,45000,45000,45000
432,3.3.2,Zone 3 - establish access roads,21,2030-07-20,2030-08-09,,Civil Contractor,80000,72000,72000,72000
433,3.3.3,Zone 3 - utility diversions & protections,28,2030-07-25,2030-08-21,,Utilities Contractor,100000,90000,90000,90000
434,3.3.4,Zone 3 - pile layout & markout,7,2030-07-27,2030-08-02,,Survey Team,15000,13500,13500,13500
435,3.3.5,Zone 3 - bore piles / drilled shafts (batch),30,2030-08-04,2030-09-02,,Pile Contractor,300000,270000,270000,270000
436,3.3.6,Zone 3 - cap beams & pile caps,14,2030-09-03,2030-09-16,,Concrete Contractor,120000,108000,108000,108000
437,3.3.7,Zone 3 - erect pylon segments 1-5,21,2030-09-23,2030-10-13,,Steel Erector,180000,162000,162000,162000
438,3.3.8,Zone 3 - install tube supports & saddles,14,2030-10-18,2030-10-31,,Assembly Crew,90000,81000,81000,81000
439,3.3.9,Zone 3 - tube section lift & place (10 sections),30,2030-11-02,2030-12-01,,Heavy Lift,250000,225000,225000,225000
440,3.3.10,Zone 3 - tube welding & seal welding,14,2030-12-02,2030-12-15,,Welding Team,80000,72000,72000,72000
441,3.3.11,Zone 3 - NDT & pressure testing,10,2030-12-17,2030-12-26,,QA Team,40000,36000,36000,36000
442,3.3.12,Zone 3 - pipework & HVAC for tube segment,21,2031-01-01,2031-01-21,,MEP Contractor,90000,81000,81000,81000
443,3.3.13,Zone 3 - install access hatches & maintenance walkways,10,2031-01-26,2031-02-04,,Steel Erector,30000,27000,27000,27000
444,3.3.14,Zone 3 - local controller & sensors install,14,2031-02-05,2031-02-18,,Control Systems,50000,45000,45000,45000
445,3.3.15,Zone 3 - cable tray & fiber install,10,2031-02-20,2031-03-01,,Telco Contractor,30000,27000,27000,27000
446,3.3.16,Zone 3 - access road rehabilitation,7,2031-03-07,2031-03-13,,Civil Contractor,15000,13500,13500,13500
447,3.4.1,Zone 4 - mobilize site compound,14,2030-07-22,2030-08-04,,Construction Contractor,50000,45000,45000,45000
448,3.4.2,Zone 4 - establish access roads,21,2030-07-27,2030-08-16,,Civil Contractor,80000,72000,72000,72000
449,3.4.3,Zone 4 - utility diversions & protections,28,2030-08-01,2030-08-28,,Utilities Contractor,100000,90000,90000,90000
450,3.4.4,Zone 4 - pile layout & markout,7,2030-08-03,2030-08-09,,Survey Team,15000,13500,13500,13500
451,3.4.5,Zone 4 - bore piles / drilled shafts (batch),30,2030-08-11,2030-09-09,,Pile Contractor,300000,270000,270000,270000
452,3.4.6,Zone 4 - cap beams & pile caps,14,2030-09-10,2030-09-23,,Concrete Contractor,120000,108000,108000,108000
453,3.4.7,Zone 4 - erect pylon segments 1-5,21,2030-09-30,2030-10-20,,Steel Erector,180000,162000,162000,162000
454,3.4.8,Zone 4 - install tube supports & saddles,14,2030-10-25,2030-11-07,,Assembly Crew,90000,81000,81000,81000
455,3.4.9,Zone 4 - tube section lift & place (10 sections),30,2030-11-09,2030-12-08,,Heavy Lift,250000,225000,225000,225000
456,3.4.10,Zone 4 - tube welding & seal welding,14,2030-12-09,2030-12-22,,Welding Team,80000,72000,72000,72000
457,3.4.11,Zone 4 - NDT & pressure testing,10,2030-12-24,2031-01-02,,QA Team,40000,36000,36000,36000
458,3.4.12,Zone 4 - pipework & HVAC for tube segment,21,2031-01-08,2031-01-28,,MEP Contractor,90000,81000,81000,81000
459,3.4.13,Zone 4 - install access hatches & maintenance walkways,10,2031-02-02,2031-02-11,,Steel Erector,30000,27000,27000,27000
460,3.4.14,Zone 4 - local controller & sensors install,14,2031-02-12,2031-02-25,,Control Systems,50000,45000,45000,45000
461,3.4.15,Zone 4 - cable tray & fiber install,10,2031-02-27,2031-03-08,,Telco Contractor,30000,27000,27000,27000
462,3.4.16,Zone 4 - access road rehabilitation,7,2031-03-14,2031-03-20,,Civil Contractor,15000,13500,13500,13500
463,3.5.1,Zone 5 - mobilize site compound,14,2030-07-29,2030-08-11,,Construction Contractor,50000,45000,45000,45000
464,3.5.2,Zone 5 - establish access roads,21,2030-08-03,2030-08-23,,Civil Contractor,80000,72000,72000,72000
465,3.5.3,Zone 5 - utility diversions & protections,28,2030-08-08,2030-09-04,,Utilities Contractor,100000,90000,90000,90000
466,3.5.4,Zone 5 - pile layout & markout,7,2030-08-10,2030-08-16,,Survey Team,15000,13500,13500,13500
467,3.5.5,Zone 5 - bore piles / drilled shafts (batch),30,2030-08-18,2030-09-16,,Pile Contractor,300000,270000,270000,270000
468,3.5.6,Zone 5 - cap beams & pile caps,14,2030-09-17,2030-09-30,,Concrete Contractor,120000,108000,108000,108000
469,3.5.7,Zone 5 - erect pylon segments 1-5,21,2030-10-07,2030-10-27,,Steel Erector,180000,162000,162000,162000
470,3.5.8,Zone 5 - install tube supports & saddles,14,2030-11-01,2030-11-14,,Assembly Crew,90000,81000,81000,81000
471,3.5.9,Zone 5 - tube section lift & place (10 sections),30,2030-11-16,2030-12-15,,Heavy Lift,250000,225000,225000,225000
472,3.5.10,Zone 5 - tube welding & seal welding,14,2030-12-16,2030-12-29,,Welding Team,80000,72000,72000,72000
473,3.5.11,Zone 5 - NDT & pressure testing,10,2030-12-31,2031-01-09,,QA Team,40000,36000,36000,36000
474,3.5.12,Zone 5 - pipework & HVAC for tube segment,21,2031-01-15,2031-02-04,,MEP Contractor,90000,81000,81000,81000
475,3.5.13,Zone 5 - install access hatches & maintenance walkways,10,2031-02-09,2031-02-18,,Steel Erector,30000,27000,27000,27000
476,3.5.14,Zone 5 - local controller & sensors install,14,2031-02-19,2031-03-04,,Control Systems,50000,45000,45000,45000
477,3.5.15,Zone 5 - cable tray & fiber install,10,2031-03-06,2031-03-15,,Telco Contractor,30000,27000,27000,27000
478,3.5.16,Zone 5 - access road rehabilitation,7,2031-03-21,2031-03-27,,Civil Contractor,15000,13500,13500,13500
479,3.6.1,Zone 6 - mobilize site compound,14,2030-08-05,2030-08-18,,Construction Contractor,50000,45000,45000,45000
480,3.6.2,Zone 6 - establish access roads,21,2030-08-10,2030-08-30,,Civil Contractor,80000,72000,72000,72000
481,3.6.3,Zone 6 - utility diversions & protections,28,2030-08-15,2030-09-11,,Utilities Contractor,100000,90000,90000,90000
482,3.6.4,Zone 6 - pile layout & markout,7,2030-08-17,2030-08-23,,Survey Team,15000,13500,13500,13500
483,3.6.5,Zone 6 - bore piles / drilled shafts (batch),30,2030-08-25,2030-09-23,,Pile Contractor,300000,270000,270000,270000
484,3.6.6,Zone 6 - cap beams & pile caps,14,2030-09-24,2030-10-07,,Concrete Contractor,120000,108000,108000,108000
485,3.6.7,Zone 6 - erect pylon segments 1-5,21,2030-10-14,2030-11-03,,Steel Erector,180000,162000,162000,162000
486,3.6.8,Zone 6 - install tube supports & saddles,14,2030-11-08,2030-11-21,,Assembly Crew,90000,81000,81000,81000
487,3.6.9,Zone 6 - tube section lift & place (10 sections),30,2030-11-23,2030-12-22,,Heavy Lift,250000,225000,225000,225000
488,3.6.10,Zone 6 - tube welding & seal welding,14,2030-12-23,2031-01-05,,Welding Team,80000,72000,72000,72000
489,3.6.11,Zone 6 - NDT & pressure testing,10,2031-01-07,2031-01-16,,QA Team,40000,36000,36000,36000
490,3.6.12,Zone 6 - pipework & HVAC for tube segment,21,2031-01-22,2031-02-11,,MEP Contractor,90000,81000,81000,81000
491,3.6.13,Zone 6 - install access hatches & maintenance walkways,10,2031-02-16,2031-02-25,,Steel Erector,30000,27000,27000,27000
492,3.6.14,Zone 6 - local controller & sensors install,14,2031-02-26,2031-03-11,,Control Systems,50000,45000,45000,45000
493,3.6.15,Zone 6 - cable tray & fiber install,10,2031-03-13,2031-03-22,,Telco Contractor,30000,27000,27000,27000
494,3.6.16,Zone 6 - access road rehabilitation,7,2031-03-28,2031-04-03,,Civil Contractor,15000,13500,13500,13500
495,3.7.1,Zone 7 - mobilize site compound,14,2030-08-12,2030-08-25,,Construction Contractor,50000,45000,45000,45000
496,3.7.2,Zone 7 - establish access roads,21,2030-08-17,2030-09-06,,Civil Contractor,80000,72000,72000,72000
497,3.7.3,Zone 7 - utility diversions & protections,28,2030-08-22,2030-09-18,,Utilities Contractor,100000,90000,90000,90000
498,3.7.4,Zone 7 - pile layout & markout,7,2030-08-24,2030-08-30,,Survey Team,15000,13500,13500,13500
499,3.7.5,Zone 7 - bore piles / drilled shafts (batch),30,2030-09-01,2030-09-30,,Pile Contractor,300000,270000,270000,270000
500,3.7.6,Zone 7 - cap beams & pile caps,14,2030-10-01,2030-10-14,,Concrete Contractor,120000,108000,108000,108000
501,3.7.7,Zone 7 - erect pylon segments 1-5,21,2030-10-21,2030-11-10,,Steel Erector,180000,162000,162000,162000
502,3.7.8,Zone 7 - install tube supports & saddles,14,2030-11-15,2030-11-28,,Assembly Crew,90000,81000,81000,81000
503,3.7.9,Zone 7 - tube section lift & place (10 sections),30,2030-11-30,2030-12-29,,Heavy Lift,250000,225000,225000,225000
504,3.7.10,Zone 7 - tube welding & seal welding,14,2030-12-30,2031-01-12,,Welding Team,80000,72000,72000,72000
505,3.7.11,Zone 7 - NDT & pressure testing,10,2031-01-14,2031-01-23,,QA Team,40000,36000,36000,36000
506,3.7.12,Zone 7 - pipework & HVAC for tube segment,21,2031-01-29,2031-02-18,,MEP Contractor,90000,81000,81000,81000
507,3.7.13,Zone 7 - install access hatches & maintenance walkways,10,2031-02-23,2031-03-04,,Steel Erector,30000,27000,27000,27000
508,3.7.14,Zone 7 - local controller & sensors install,14,2031-03-05,2031-03-18,,Control Systems,50000,45000,45000,45000
509,3.7.15,Zone 7 - cable tray & fiber install,10,2031-03-20,2031-03-29,,Telco Contractor,30000,27000,27000,27000
510,3.7.16,Zone 7 - access road rehabilitation,7,2031-04-04,2031-04-10,,Civil Contractor,15000,13500,13500,13500
511,3.8.1,Zone 8 - mobilize site compound,14,2030-08-19,2030-09-01,,Construction Contractor,50000,45000,45000,45000
512,3.8.2,Zone 8 - establish access roads,21,2030-08-24,2030-09-13,,Civil Contractor,80000,72000,72000,72000
513,3.8.3,Zone 8 - utility diversions & protections,28,2030-08-29,2030-09-25,,Utilities Contractor,100000,90000,90000,90000
514,3.8.4,Zone 8 - pile layout & markout,7,2030-08-31,2030-09-06,,Survey Team,15000,13500,13500,13500
515,3.8.5,Zone 8 - bore piles / drilled shafts (batch),30,2030-09-08,2030-10-07,,Pile Contractor,300000,270000,270000,270000
516,3.8.6,Zone 8 - cap beams & pile caps,14,2030-10-08,2030-10-21,,Concrete Contractor,120000,108000,108000,108000
517,3.8.7,Zone 8 - erect pylon segments 1-5,21,2030-10-28,2030-11-17,,Steel Erector,180000,162000,162000,162000
518,3.8.8,Zone 8 - install tube supports & saddles,14,2030-11-22,2030-12-05,,Assembly Crew,90000,81000,81000,81000
519,3.8.9,Zone 8 - tube section lift & place (10 sections),30,2030-12-07,2031-01-05,,Heavy Lift,250000,225000,225000,225000
520,3.8.10,Zone 8 - tube welding & seal welding,14,2031-01-06,2031-01-19,,Welding Team,80000,72000,72000,72000
521,3.8.11,Zone 8 - NDT & pressure testing,10,2031-01-21,2031-01-30,,QA Team,40000,36000,36000,36000
522,3.8.12,Zone 8 - pipework & HVAC for tube segment,21,2031-02-05,2031-02-25,,MEP Contractor,90000,81000,81000,81000
523,3.8.13,Zone 8 - install access hatches & maintenance walkways,10,2031-03-02,2031-03-11,,Steel Erector,30000,27000,27000,27000
524,3.8.14,Zone 8 - local controller & sensors install,14,2031-03-12,2031-03-25,,Control Systems,50000,45000,45000,45000
525,3.8.15,Zone 8 - cable tray & fiber install,10,2031-03-27,2031-04-05,,Telco Contractor,30000,27000,27000,27000
526,3.8.16,Zone 8 - access road rehabilitation,7,2031-04-11,2031-04-17,,Civil Contractor,15000,13500,13500,13500
527,3.9.1,Zone 9 - mobilize site compound,14,2030-08-26,2030-09-08,,Construction Contractor,50000,45000,45000,45000
528,3.9.2,Zone 9 - establish access roads,21,2030-08-31,2030-09-20,,Civil Contractor,80000,72000,72000,72000
529,3.9.3,Zone 9 - utility diversions & protections,28,2030-09-05,2030-10-02,,Utilities Contractor,100000,90000,90000,90000
530,3.9.4,Zone 9 - pile layout & markout,7,2030-09-07,2030-09-13,,Survey Team,15000,13500,13500,13500
531,3.9.5,Zone 9 - bore piles / drilled shafts (batch),30,2030-09-15,2030-10-14,,Pile Contractor,300000,270000,270000,270000
532,3.9.6,Zone 9 - cap beams & pile caps,14,2030-10-15,2030-10-28,,Concrete Contractor,120000,108000,108000,108000
533,3.9.7,Zone 9 - erect pylon segments 1-5,21,2030-11-04,2030-11-24,,Steel Erector,180000,162000,162000,162000
534,3.9.8,Zone 9 - install tube supports & saddles,14,2030-11-29,2030-12-12,,Assembly Crew,90000,81000,81000,81000
535,3.9.9,Zone 9 - tube section lift & place (10 sections),30,2030-12-14,2031-01-12,,Heavy Lift,250000,225000,225000,225000
536,3.9.10,Zone 9 - tube welding & seal welding,14,2031-01-13,2031-01-26,,Welding Team,80000,72000,72000,72000
537,3.9.11,Zone 9 - NDT & pressure testing,10,2031-01-28,2031-02-06,,QA Team,40000,36000,36000,36000
538,3.9.12,Zone 9 - pipework & HVAC for tube segment,21,2031-02-12,2031-03-04,,MEP Contractor,90000,81000,81000,81000
539,3.9.13,Zone 9 - install access hatches & maintenance walkways,10,2031-03-09,2031-03-18,,Steel Erector,30000,27000,27000,27000
540,3.9.14,Zone 9 - local controller & sensors install,14,2031-03-19,2031-04-01,,Control Systems,50000,45000,45000,45000
541,3.9.15,Zone 9 - cable tray & fiber install,10,2031-04-03,2031-04-12,,Telco Contractor,30000,27000,27000,27000
542,3.9.16,Zone 9 - access road rehabilitation,7,2031-04-18,2031-04-24,,Civil Contractor,15000,13500,13500,13500
543,3.10.1,Zone 10 - mobilize site compound,14,2030-09-02,2030-09-15,,Construction Contractor,50000,45000,45000,45000
544,3.10.2,Zone 10 - establish access roads,21,2030-09-07,2030-09-27,,Civil Contractor,80000,72000,72000,72000
545,3.10.3,Zone 10 - utility diversions & protections,28,2030-09-12,2030-10-09,,Utilities Contractor,100000,90000,90000,90000
546,3.10.4,Zone 10 - pile layout & markout,7,2030-09-14,2030-09-20,,Survey Team,15000,13500,13500,13500
547,3.10.5,Zone 10 - bore piles / drilled shafts (batch),30,2030-09-22,2030-10-21,,Pile Contractor,300000,270000,270000,270000
548,3.10.6,Zone 10 - cap beams & pile caps,14,2030-10-22,2030-11-04,,Concrete Contractor,120000,108000,108000,108000
549,3.10.7,Zone 10 - erect pylon segments 1-5,21,2030-11-11,2030-12-01,,Steel Erector,180000,162000,162000,162000
550,3.10.8,Zone 10 - install tube supports & saddles,14,2030-12-06,2030-12-19,,Assembly Crew,90000,81000,81000,81000
551,3.10.9,Zone 10 - tube section lift & place (10 sections),30,2030-12-21,2031-01-19,,Heavy Lift,250000,225000,225000,225000
552,3.10.10,Zone 10 - tube welding & seal welding,14,2031-01-20,2031-02-02,,Welding Team,80000,72000,72000,72000
553,3.10.11,Zone 10 - NDT & pressure testing,10,2031-02-04,2031-02-13,,QA Team,40000,36000,36000,36000
554,3.10.12,Zone 10 - pipework & HVAC for tube segment,21,2031-02-19,2031-03-11,,MEP Contractor,90000,81000,81000,81000
555,3.10.13,Zone 10 - install access hatches & maintenance walkways,10,2031-03-16,2031-03-25,,Steel Erector,30000,27000,27000,27000
556,3.10.14,Zone 10 - local controller & sensors install,14,2031-03-26,2031-04-08,,Control Systems,50000,45000,45000,45000
557,3.10.15,Zone 10 - cable tray & fiber install,10,2031-04-10,2031-04-19,,Telco Contractor,30000,27000,27000,27000
558,3.10.16,Zone 10 - access road rehabilitation,7,2031-04-25,2031-05-01,,Civil Contractor,15000,13500,13500,13500
559,3.11.1,Zone 11 - mobilize site compound,14,2030-09-09,2030-09-22,,Construction Contractor,50000,45000,45000,45000
560,3.11.2,Zone 11 - establish access roads,21,2030-09-14,2030-10-04,,Civil Contractor,80000,72000,72000,72000
561,3.11.3,Zone 11 - utility diversions & protections,28,2030-09-19,2030-10-16,,Utilities Contractor,100000,90000,90000,90000
562,3.11.4,Zone 11 - pile layout & markout,7,2030-09-21,2030-09-27,,Survey Team,15000,13500,13500,13500
563,3.11.5,Zone 11 - bore piles / drilled shafts (batch),30,2030-09-29,2030-10-28,,Pile Contractor,300000,270000,270000,270000
564,3.11.6,Zone 11 - cap beams & pile caps,14,2030-10-29,2030-11-11,,Concrete Contractor,120000,108000,108000,108000
565,3.11.7,Zone 11 - erect pylon segments 1-5,21,2030-11-18,2030-12-08,,Steel Erector,180000,162000,162000,162000
566,3.11.8,Zone 11 - install tube supports & saddles,14,2030-12-13,2030-12-26,,Assembly Crew,90000,81000,81000,81000
567,3.11.9,Zone 11 - tube section lift & place (10 sections),30,2030-12-28,2031-01-26,,Heavy Lift,250000,225000,225000,225000
568,3.11.10,Zone 11 - tube welding & seal welding,14,2031-01-27,2031-02-09,,Welding Team,80000,72000,72000,72000
569,3.11.11,Zone 11 - NDT & pressure testing,10,2031-02-11,2031-02-20,,QA Team,40000,36000,36000,36000
570,3.11.12,Zone 11 - pipework & HVAC for tube segment,21,2031-02-26,2031-03-18,,MEP Contractor,90000,81000,81000,81000
571,3.11.13,Zone 11 - install access hatches & maintenance walkways,10,2031-03-23,2031-04-01,,Steel Erector,30000,27000,27000,27000
572,3.11.14,Zone 11 - local controller & sensors install,14,2031-04-02,2031-04-15,,Control Systems,50000,45000,45000,45000
573,3.11.15,Zone 11 - cable tray & fiber install,10,2031-04-17,2031-04-26,,Telco Contractor,30000,27000,27000,27000
574,3.11.16,Zone 11 - access road rehabilitation,7,2031-05-02,2031-05-08,,Civil Contractor,15000,13500,13500,13500
575,3.12.1,Zone 12 - mobilize site compound,14,2030-09-16,2030-09-29,,Construction Contractor,50000,45000,45000,45000
576,3.12.2,Zone 12 - establish access roads,21,2030-09-21,2030-10-11,,Civil Contractor,80000,72000,72000,72000
577,3.12.3,Zone 12 - utility diversions & protections,28,2030-09-26,2030-10-23,,Utilities Contractor,100000,90000,90000,90000
578,3.12.4,Zone 12 - pile layout & markout,7,2030-09-28,2030-10-04,,Survey Team,15000,13500,13500,13500
579,3.12.5,Zone 12 - bore piles / drilled shafts (batch),30,2030-10-06,2030-11-04,,Pile Contractor,300000,270000,270000,270000
580,3.12.6,Zone 12 - cap beams & pile caps,14,2030-11-05,2030-11-18,,Concrete Contractor,120000,108000,108000,108000
581,3.12.7,Zone 12 - erect pylon segments 1-5,21,2030-11-25,2030-12-15,,Steel Erector,180000,162000,162000,162000
582,3.12.8,Zone 12 - install tube supports & saddles,14,2030-12-20,2031-01-02,,Assembly Crew,90000,81000,81000,81000
583,3.12.9,Zone 12 - tube section lift & place (10 sections),30,2031-01-04,2031-02-02,,Heavy Lift,250000,225000,225000,225000
584,3.12.10,Zone 12 - tube welding & seal welding,14,2031-02-03,2031-02-16,,Welding Team,80000,72000,72000,72000
585,3.12.11,Zone 12 - NDT & pressure testing,10,2031-02-18,2031-02-27,,QA Team,40000,36000,36000,36000
586,3.12.12,Zone 12 - pipework & HVAC for tube segment,21,2031-03-05,2031-03-25,,MEP Contractor,90000,81000,81000,81000
587,3.12.13,Zone 12 - install access hatches & maintenance walkways,10,2031-03-30,2031-04-08,,Steel Erector,30000,27000,27000,27000
588,3.12.14,Zone 12 - local controller & sensors install,14,2031-04-09,2031-04-22,,Control Systems,50000,45000,45000,45000
589,3.12.15,Zone 12 - cable tray & fiber install,10,2031-04-24,2031-05-03,,Telco Contractor,30000,27000,27000,27000
590,3.12.16,Zone 12 - access road rehabilitation,7,2031-05-09,2031-05-15,,Civil Contractor,15000,13500,13500,13500
591,3.13.1,Zone 13 - mobilize site compound,14,2030-09-23,2030-10-06,,Construction Contractor,50000,45000,45000,45000
592,3.13.2,Zone 13 - establish access roads,21,2030-09-28,2030-10-18,,Civil Contractor,80000,72000,72000,72000
593,3.13.3,Zone 13 - utility diversions & protections,28,2030-10-03,2030-10-30,,Utilities Contractor,100000,90000,90000,90000
594,3.13.4,Zone 13 - pile layout & markout,7,2030-10-05,2030-10-11,,Survey Team,15000,13500,13500,13500
595,3.13.5,Zone 13 - bore piles / drilled shafts (batch),30,2030-10-13,2030-11-11,,Pile Contractor,300000,270000,270000,270000
596,3.13.6,Zone 13 - cap beams & pile caps,14,2030-11-12,2030-11-25,,Concrete Contractor,120000,108000,108000,108000
597,3.13.7,Zone 13 - erect pylon segments 1-5,21,2030-12-02,2030-12-22,,Steel Erector,180000,162000,162000,162000
598,3.13.8,Zone 13 - install tube supports & saddles,14,2030-12-27,2031-01-09,,Assembly Crew,90000,81000,81000,81000
599,3.13.9,Zone 13 - tube section lift & place (10 sections),30,2031-01-11,2031-02-09,,Heavy Lift,250000,225000,225000,225000
600,3.13.10,Zone 13 - tube welding & seal welding,14,2031-02-10,2031-02-23,,Welding Team,80000,72000,72000,72000
601,3.13.11,Zone 13 - NDT & pressure testing,10,2031-02-25,2031-03-06,,QA Team,40000,36000,36000,36000
602,3.13.12,Zone 13 - pipework & HVAC for tube segment,21,2031-03-12,2031-04-01,,MEP Contractor,90000,81000,81000,81000
603,3.13.13,Zone 13 - install access hatches & maintenance walkways,10,2031-04-06,2031-04-15,,Steel Erector,30000,27000,27000,27000
604,3.13.14,Zone 13 - local controller & sensors install,14,2031-04-16,2031-04-29,,Control Systems,50000,45000,45000,45000
605,3.13.15,Zone 13 - cable tray & fiber install,10,2031-05-01,2031-05-10,,Telco Contractor,30000,27000,27000,27000
606,3.13.16,Zone 13 - access road rehabilitation,7,2031-05-16,2031-05-22,,Civil Contractor,15000,13500,13500,13500
607,3.14.1,Zone 14 - mobilize site compound,14,2030-09-30,2030-10-13,,Construction Contractor,50000,45000,45000,45000
608,3.14.2,Zone 14 - establish access roads,21,2030-10-05,2030-10-25,,Civil Contractor,80000,72000,72000,72000
609,3.14.3,Zone 14 - utility diversions & protections,28,2030-10-10,2030-11-06,,Utilities Contractor,100000,90000,90000,90000
610,3.14.4,Zone 14 - pile layout & markout,7,2030-10-12,2030-10-18,,Survey Team,15000,13500,13500,13500
611,3.14.5,Zone 14 - bore piles / drilled shafts (batch),30,2030-10-20,2030-11-18,,Pile Contractor,300000,270000,270000,270000
612,3.14.6,Zone 14 - cap beams & pile caps,14,2030-11-19,2030-12-02,,Concrete Contractor,120000,108000,108000,108000
613,3.14.7,Zone 14 - erect pylon segments 1-5,21,2030-12-09,2030-12-29,,Steel Erector,180000,162000,162000,162000
614,3.14.8,Zone 14 - install tube supports & saddles,14,2031-01-03,2031-01-16,,Assembly Crew,90000,81000,81000,81000
615,3.14.9,Zone 14 - tube section lift & place (10 sections),30,2031-01-18,2031-02-16,,Heavy Lift,250000,225000,225000,225000
616,3.14.10,Zone 14 - tube welding & seal welding,14,2031-02-17,2031-03-02,,Welding Team,80000,72000,72000,72000
617,3.14.11,Zone 14 - NDT & pressure testing,10,2031-03-04,2031-03-13,,QA Team,40000,36000,36000,36000
618,3.14.12,Zone 14 - pipework & HVAC for tube segment,21,2031-03-19,2031-04-08,,MEP Contractor,90000,81000,81000,81000
619,3.14.13,Zone 14 - install access hatches & maintenance walkways,10,2031-04-13,2031-04-22,,Steel Erector,30000,27000,27000,27000
620,3.14.14,Zone 14 - local controller & sensors install,14,2031-04-23,2031-05-06,,Control Systems,50000,45000,45000,45000
621,3.14.15,Zone 14 - cable tray & fiber install,10,2031-05-08,2031-05-17,,Telco Contractor,30000,27000,27000,27000
622,3.14.16,Zone 14 - access road rehabilitation,7,2031-05-23,2031-05-29,,Civil Contractor,15000,13500,13500,13500
623,3.15.1,Zone 15 - mobilize site compound,14,2030-10-07,2030-10-20,,Construction Contractor,50000,45000,45000,45000
624,3.15.2,Zone 15 - establish access roads,21,2030-10-12,2030-11-01,,Civil Contractor,80000,72000,72000,72000
625,3.15.3,Zone 15 - utility diversions & protections,28,2030-10-17,2030-11-13,,Utilities Contractor,100000,90000,90000,90000
626,3.15.4,Zone 15 - pile layout & markout,7,2030-10-19,2030-10-25,,Survey Team,15000,13500,13500,13500
627,3.15.5,Zone 15 - bore piles / drilled shafts (batch),30,2030-10-27,2030-11-25,,Pile Contractor,300000,270000,270000,270000
628,3.15.6,Zone 15 - cap beams & pile caps,14,2030-11-26,2030-12-09,,Concrete Contractor,120000,108000,108000,108000
629,3.15.7,Zone 15 - erect pylon segments 1-5,21,2030-12-16,2031-01-05,,Steel Erector,180000,162000,162000,162000
